Experiment File Name,Well,Sample Name,Target Name,Ct
ABI7500ExperimentName_,A1,Sample,C19,Undetermined
ABI7500ExperimentName_,A1,Sample,FluAB,Undetermined
ABI7500ExperimentName_,A1,Sample,MS2,23.8692112
ABI7500ExperimentName_,A1,Sample,RSV,Undetermined
ABI7500ExperimentName_,A2,Sample,C19,Undetermined
ABI7500ExperimentName_,A2,Sample,FluAB,Undetermined
ABI7500ExperimentName_,A2,Sample,MS2,23.34012413
ABI7500ExperimentName_,A2,Sample,RSV,Undetermined
ABI7500ExperimentName_,A3,Sample,C19,Undetermined
ABI7500ExperimentName_,A3,Sample,FluAB,Undetermined
ABI7500ExperimentName_,A3,Sample,MS2,23.95868301
ABI7500ExperimentName_,A3,Sample,RSV,Undetermined
ABI7500ExperimentName_,A4,Sample,C19,Undetermined
ABI7500ExperimentName_,A4,Sample,FluAB,Undetermined
ABI7500ExperimentName_,A4,Sample,MS2,23.09122276
ABI7500ExperimentName_,A4,Sample,RSV,Undetermined
ABI7500ExperimentName_,A5,Sample,C19,Undetermined
ABI7500ExperimentName_,A5,Sample,FluAB,Undetermined
ABI7500ExperimentName_,A5,Sample,MS2,24.1529789
ABI7500ExperimentName_,A5,Sample,RSV,Undetermined
ABI7500ExperimentName_,A6,Sample,C19,Undetermined
ABI7500ExperimentName_,A6,Sample,FluAB,Undetermined
ABI7500ExperimentName_,A6,Sample,MS2,23.24103737
ABI7500ExperimentName_,A6,Sample,RSV,Undetermined
ABI7500ExperimentName_,A7,Sample,C19,Undetermined
ABI7500ExperimentName_,A7,Sample,FluAB,Undetermined
ABI7500ExperimentName_,A7,Sample,MS2,22.53000641
ABI7500ExperimentName_,A7,Sample,RSV,Undetermined
ABI7500ExperimentName_,A8,Sample,C19,
ABI7500ExperimentName_,A8,Sample,FluAB,
ABI7500ExperimentName_,A8,Sample,MS2,
ABI7500ExperimentName_,A8,Sample,RSV,
ABI7500ExperimentName_,A9,Sample,C19,Undetermined
ABI7500ExperimentName_,A9,Sample,FluAB,Undetermined
ABI7500ExperimentName_,A9,Sample,MS2,22.22212791
ABI7500ExperimentName_,A9,Sample,RSV,Undetermined
ABI7500ExperimentName_,A10,Sample,C19,Undetermined
